year,month,arr_delay,year_month
2020,1,5952758,2020-01
2020,2,6497986,2020-02
2020,3,3552896,2020-03
2020,4,586655,2020-04
2020,5,514051,2020-05
2020,6,896479,2020-06
2020,7,1993398,2020-07
2020,8,1809921,2020-08
2020,9,1260347,2020-09
2020,10,1887077,2020-10
2020,11,1674192,2020-11
2020,12,2705436,2020-12
2021,1,2435087,2021-01
2021,2,3240426,2021-02
2021,3,2873046,2021-03
2021,4,3224511,2021-04
2021,5,4536351,2021-05
2021,6,9645069,2021-06
2021,7,10891433,2021-07
2021,8,9542498,2021-08
2021,9,5101632,2021-09
2021,10,6805473,2021-10
2021,11,5085754,2021-11
2021,12,8092200,2021-12
2022,1,7092462,2022-01
2022,2,6562089,2022-02
2022,3,8244843,2022-03
2022,4,8397787,2022-04
2022,5,8237567,2022-05
2022,6,9748283,2022-06
2022,7,9866680,2022-07
2022,8,9239082,2022-08
2022,9,5931848,2022-09
2022,10,5807347,2022-10
2022,11,6726757,2022-11
2022,12,10770080,2022-12
2023,1,8740614,2023-01
2023,2,6654233,2023-02
2023,3,9235207,2023-03
2023,4,9311627,2023-04
2023,5,7309797,2023-05
2023,6,12163775,2023-06
2023,7,13916270,2023-07
2023,8,9921150,2023-08
2023,9,7825289,2023-09
2023,10,6101204,2023-10
2023,11,4875701,2023-11
2023,12,6082962,2023-12
2024,1,10355531,2024-01
2024,2,5575709,2024-02
2024,3,8922417,2024-03
2024,4,7997262,2024-04
2024,5,12875243,2024-05
2024,6,11642182,2024-06
2024,7,15486710,2024-07
2024,8,11292440,2024-08
2024,9,5877440,2024-09
2024,10,5187832,2024-10
2024,11,5672829,2024-11
2024,12,9585044,2024-12
